round,seq,epoch,label,id,min_ms,typ_best_ms,tail_spread_ms,mean_ms,std_ms,runs
0,0,1784688786.082,answer_key,root.4fba7d,1.04563,1.05723,0.01425,1.40055,0.83004,377
0,1,1784688788.742,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.04517,1.05552,0.01875,1.15464,0.13069,255
0,2,1784688791.476,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.00238,1.03392,0.04150,1.18355,0.15402,255
0,3,1784688794.196,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.98350,0.99612,0.02729,1.15980,0.17442,153
1,4,1784688796.774,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.03346,1.05344,0.02767,1.16046,0.13778,246
1,5,1784688799.333,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.01450,1.02856,0.02179,1.14075,0.13148,255
1,6,1784688802.034,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.98162,0.98994,0.01617,1.11262,0.14358,273
1,7,1784688804.735,answer_key,root.4fba7d,1.04308,1.05169,0.01346,1.16955,0.14314,255
2,8,1784688807.311,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.02700,1.04798,0.03233,1.14744,0.12053,255
2,9,1784688810.014,answer_key,root.4fba7d,1.04904,1.05577,0.01113,1.17340,0.15385,255
2,10,1784688812.455,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.01767,1.04379,0.03804,1.15798,0.14918,123
2,11,1784688815.127,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.97975,0.99427,0.01992,1.11321,0.14254,237
3,12,1784688817.717,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.01204,1.03892,0.03308,1.14313,0.12699,255
3,13,1784688820.158,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.01825,1.05954,0.06283,1.16330,0.13258,123
3,14,1784688822.888,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.97621,0.98915,0.01954,1.10801,0.14139,273
3,15,1784688825.609,answer_key,root.4fba7d,1.04279,1.05606,0.01842,1.17250,0.14537,255
4,16,1784688828.311,answer_key,root.4fba7d,1.04737,1.05867,0.01825,1.17170,0.13827,237
4,17,1784688830.893,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.03375,1.04523,0.02296,1.16637,0.13756,246
4,18,1784688833.642,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.96937,0.98710,0.02754,1.11077,0.15232,273
4,19,1784688836.332,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.02433,1.04285,0.02438,1.17010,0.14941,322
5,20,1784688839.147,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.97246,0.98962,0.02646,1.10648,0.13447,333
5,21,1784688841.687,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.02838,1.04396,0.02542,1.15133,0.13661,177
5,22,1784688844.419,answer_key,root.4fba7d,1.04496,1.05179,0.01188,1.15440,0.12706,255
5,23,1784688847.015,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.02117,1.04971,0.03446,1.15777,0.12818,246
6,24,1784688849.823,answer_key,root.4fba7d,1.04225,1.05404,0.01996,1.18062,0.14821,315
6,25,1784688852.264,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.03550,1.07802,0.04900,1.16343,0.12781,93
6,26,1784688854.973,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.96962,0.98852,0.02950,1.10984,0.14240,246
6,27,1784688857.594,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.02229,1.03371,0.01542,1.13298,0.12880,264
7,28,1784688860.319,answer_key_wfix,4fba7d.answerkey_width_fix.canon,0.98608,0.99102,0.01196,1.10481,0.13479,255
7,29,1784688862.949,opus_hist_unroll,7bdae8.borrow_hist_unroll.canon,1.00400,1.03490,0.04446,1.13875,0.11891,255
7,30,1784688865.690,answer_key,root.4fba7d,1.04700,1.05717,0.01583,1.16148,0.13368,237
7,31,1784688868.312,opus_no_peek,9f3979.vectorize_hist_colsum.canon,1.02487,1.05056,0.03542,1.16459,0.13836,264
